130.Çekiliş 	14 	15 	26 	32 	45 	46 		2 	4 			2 	4 		32 		178 	
131.Çekiliş 	6 	18 	26 	33 	34 	41 		2 	4 			2 	4 		35 		158 	
132.Çekiliş 	7 	14 	15 	26 	37 	48 		3 	3 			3 	3 		41 		147 	
133.Çekiliş 	2 	10 	13 	26 	33 	47 		3 	3 			3 	3 		45 		131 	
134.Çekiliş 	4 	9 	12 	14 	38 	43 		2 	4 			4 	2 		39 		120 	
135.Çekiliş 	27 	29 	35 	39 	42 	45 		5 	1 			0 	6 		18 		217 	
136.Çekiliş 	12 	39 	40 	41 	42 	45 		3 	3 			1 	5 		33 		219 	
137.Çekiliş 	17 	25 	29 	31 	33 	46 		5 	1 			2 	4 		29 		181 	
138.Çekiliş 	24 	26 	27 	38 	40 	48 		1 	5 			1 	5 		24 		203 	
139.Çekiliş 	6 	8 	17 	32 	36 	46 		1 	5 			3 	3 		40 		145 	
140.Çekiliş 	17 	27 	30 	38 	40 	44 		2 	4 			1 	5 		27 		196 	
141.Çekiliş 	6 	7 	12 	17 	20 	47 		3 	3 			5 	1 		41 		109 	
142.Çekiliş 	4 	10 	16 	18 	19 	35 		2 	4 			5 	1 		31 		102 	
143.Çekiliş 	8 	12 	13 	21 	25 	47 		4 	2 			5 	1 		39 		126 	
144.Çekiliş 	19 	27 	29 	32 	36 	48 		3 	3 			1 	5 		29 		191 	
145.Çekiliş 	7 	12 	17 	20 	28 	38 		2 	4 			4 	2 		31 		122 	
146.Çekiliş 	3 	9 	12 	15 	39 	44 		4 	2 			4 	2 		41 		122 	
147.Çekiliş 	2 	18 	20 	23 	26 	44 		1 	5 			4 	2 		42 		133 	
148.Çekiliş 	4 	28 	31 	39 	41 	42 		3 	3 			1 	5 		38 		185 	
149.Çekiliş 	2 	6 	7 	14 	39 	46 		2 	4 			4 	2 		44 		114 	
150.Çekiliş 	6 	12 	24 	32 	33 	44 		1 	5 			3 	3 		38 		151 	
151.Çekiliş 	3 	7 	28 	32 	46 	47 		3 	3 			2 	4 		44 		163 	
152.Çekiliş 	10 	16 	25 	27 	29 	49 		4 	2 			3 	3 		39 		156 	
153.Çekiliş 	5 	19 	24 	26 	29 	40 		3 	3 			3 	3 		35 		143 	
154.Çekiliş 	6 	9 	13 	17 	18 	30 		3 	3 			5 	1 		24 		93 	
155.Çekiliş 	6 	14 	17 	21 	22 	46 		2 	4 			5 	1 		40 		126 	
156.Çekiliş 	7 	15 	16 	21 	22 	26 		3 	3 			5 	1 		19 		107 	
157.Çekiliş 	19 	20 	26 	28 	31 	46 		2 	4 			2 	4 		27 		170 	
158.Çekiliş 	9 	11 	14 	31 	40 	45 		4 	2 			3 	3 		36 		150 	
159.Çekiliş 	1 	6 	14 	27 	39 	49 		4 	2 			3 	3 		48 		136 	
160.Çekiliş 	13 	21 	26 	27 	33 	47 		5 	1 			2 	4 		34 		167 	
161.Çekiliş 	8 	12 	15 	17 	27 	31 		4 	2 			4 	2 		23 		110 	
162.Çekiliş 	22 	23 	24 	25 	40 	47 		3 	3 			4 	2 		25 		181 	
163.Çekiliş 	2 	7 	18 	22 	36 	37 		2 	4 			4 	2 		35 		122 	
164.Çekiliş 	3 	5 	6 	15 	41 	49 		5 	1 			4 	2 		46 		119 	
165.Çekiliş 	5 	11 	14 	23 	26 	44 		3 	3 			4 	2 		39 		123 	
166.Çekiliş 	6 	19 	31 	36 	40 	45 		3 	3 			2 	4 		39 		177 	
167.Çekiliş 	1 	3 	13 	15 	26 	45 		5 	1 			4 	2 		44 		103 	
168.Çekiliş 	6 	9 	16 	17 	34 	48 		2 	4 			4 	2 		42 		130 	
169.Çekiliş 	3 	5 	34 	42 	47 	48 		3 	3 			2 	4 		45 		179 	
170.Çekiliş 	4 	7 	17 	20 	41 	46 		3 	3 			4 	2 		42 		135 	
171.Çekiliş 	4 	6 	8 	14 	27 	38 		1 	5 			4 	2 		34 		97 	
172.Çekiliş 	1 	4 	14 	19 	34 	37 		3 	3 			4 	2 		36 		109 	
173.Çekiliş 	5 	6 	27 	38 	39 	41 		4 	2 			2 	4 		36 		156 	
174.Çekiliş 	21 	24 	26 	27 	39 	43 		4 	2 			2 	4 		22 		180 	
175.Çekiliş 	8 	10 	11 	19 	21 	42 		3 	3 			5 	1 		34 		111 	
176.Çekiliş 	9 	15 	17 	24 	33 	46 		4 	2 			4 	2 		37 		144 	
177.Çekiliş 	1 	14 	19 	32 	40 	46 		2 	4 			3 	3 		45 		152 	
178.Çekiliş 	1 	6 	13 	16 	24 	40 		2 	4 			5 	1 		39 		100 	
179.Çekiliş 	18 	32 	34 	42 	43 	44 		1 	5 			1 	5 		26 		213 	
180.Çekiliş 	2 	17 	20 	29 	30 	35 		3 	3 			3 	3 		33 		133 	
181.Çekiliş 	7 	14 	25 	32 	44 	47 		3 	3 			3 	3 		40 		169 	
182.Çekiliş 	4 	6 	15 	21 	42 	45 		3 	3 			4 	2 		41 		133 	
183.Çekiliş 	6 	8 	10 	14 	22 	36 		0 	6 			5 	1 		30 		96 	
184.Çekiliş 	6 	12 	24 	27 	42 	43 		2 	4 			3 	3 		37 		154 	
185.Çekiliş 	7 	21 	36 	39 	45 	46 		4 	2 			2 	4 		39 		194 	
186.Çekiliş 	7 	9 	15 	18 	44 	46 		3 	3 			4 	2 		39 		139 	
187.Çekiliş 	4 	10 	18 	21 	30 	36 		1 	5 			4 	2 		32 		119 	
188.Çekiliş 	1 	12 	13 	34 	36 	38 		2 	4 			3 	3 		37 		134 	
189.Çekiliş 	4 	6 	11 	16 	21 	23 		3 	3 			6 	0 		19 		81 	
190.Çekiliş 	12 	13 	25 	30 	33 	34 		3 	3 			3 	3 		22 		147 	
191.Çekiliş 	4 	11 	18 	32 	36 	38 		1 	5 			3 	3 		34 		139 	
192.Çekiliş 	9 	11 	23 	30 	39 	45 		5 	1 			3 	3 		36 		157 	
193.Çekiliş 	4 	16 	19 	26 	30 	34 		1 	5 			3 	3 		30 		129 	
194.Çekiliş 	1 	14 	16 	37 	44 	46 		2 	4 			3 	3 		45 		158 	
195.Çekiliş 	4 	19 	21 	28 	29 	36 		3 	3 			3 	3 		32 		137 	
196.Çekiliş 	5 	12 	17 	19 	34 	46 		3 	3 			4 	2 		41 		133 	
197.Çekiliş 	7 	10 	16 	42 	43 	48 		2 	4 			3 	3 		41 		166 	
198.Çekiliş 	12 	17 	20 	24 	34 	44 		1 	5 			4 	2 		32 		151 	
199.Çekiliş 	1 	3 	26 	30 	39 	44 		3 	3 			2 	4 		43 		143 	
200.Çekiliş 	12 	13 	26 	27 	46 	49 		3 	3 			2 	4 		37 		173 	
201.Çekiliş 	2 	11 	22 	32 	39 	40 		2 	4 			3 	3 		38 		146 	
202.Çekiliş 	10 	12 	16 	31 	36 	40 		1 	5 			3 	3 		30 		145 	
203.Çekiliş 	16 	18 	22 	39 	40 	49 		2 	4 			3 	3 		33 		184 	
204.Çekiliş 	1 	6 	16 	30 	31 	44 		2 	4 			3 	3 		43 		128 	
205.Çekiliş 	15 	18 	29 	31 	36 	37 		4 	2 			2 	4 		22 		166 	
206.Çekiliş 	9 	20 	22 	30 	34 	38 		1 	5 			3 	3 		29 		153 	
207.Çekiliş 	7 	11 	13 	15 	25 	31 		6 	0 			5 	1 		24 		102 	
208.Çekiliş 	4 	17 	34 	40 	42 	46 		1 	5 			2 	4 		42 		183 	
209.Çekiliş 	3 	24 	25 	31 	32 	35 		4 	2 			3 	3 		32 		150 	
210.Çekiliş 	2 	4 	10 	30 	39 	49 		2 	4 			3 	3 		47 		134 	
211.Çekiliş 	8 	16 	22 	43 	45 	46 		2 	4 			3 	3 		38 		180 	
212.Çekiliş 	6 	19 	28 	32 	35 	47 		3 	3 			2 	4 		41 		167 	
213.Çekiliş 	14 	15 	16 	25 	27 	29 		4 	2 			4 	2 		15 		126 	
214.Çekiliş 	1 	2 	6 	7 	12 	21 		3 	3 			6 	0 		20 		49 	
215.Çekiliş 	11 	13 	14 	39 	40 	44 		3 	3 			3 	3 		33 		161 	
216.Çekiliş 	7 	8 	18 	23 	33 	42 		3 	3 			4 	2 		35 		131 	
217.Çekiliş 	2 	8 	9 	32 	43 	47 		3 	3 			3 	3 		45 		141 	
218.Çekiliş 	12 	19 	30 	31 	45 	47 		4 	2 			2 	4 		35 		184 	
219.Çekiliş 	3 	8 	10 	12 	30 	46 		1 	5 			4 	2 		43 		109 	
220.Çekiliş 	30 	31 	35 	38 	43 	45 		4 	2 			0 	6 		15 		222 	
221.Çekiliş 	1 	20 	25 	26 	40 	44 		2 	4 			3 	3 		43 		156 	
222.Çekiliş 	1 	3 	16 	35 	38 	49 		4 	2 			3 	3 		48 		142 	
223.Çekiliş 	5 	19 	29 	32 	39 	40 		4 	2 			2 	4 		35 		164 	
224.Çekiliş 	19 	25 	28 	29 	36 	42 		3 	3 			2 	4 		23 		179 	
225.Çekiliş 	1 	6 	8 	13 	31 	43 		4 	2 			4 	2 		42 		102 	
226.Çekiliş 	3 	20 	21 	27 	43 	44 		4 	2 			3 	3 		41 		158 	
227.Çekiliş 	4 	7 	17 	18 	24 	35 		3 	3 			5 	1 		31 		105 	
228.Çekiliş 	1 	8 	14 	18 	29 	42 		2 	4 			4 	2 		41 		112 	
229.Çekiliş 	3 	5 	7 	10 	17 	36 		4 	2 			5 	1 		33 		78 	
230.Çekiliş 	3 	24 	26 	27 	30 	37 		3 	3 			2 	4 		34 		147 	
231.Çekiliş 	2 	5 	7 	13 	27 	31 		5 	1 			4 	2 		29 		85 	
232.Çekiliş 	6 	7 	8 	31 	33 	44 		3 	3 			3 	3 		38 		129 	
233.Çekiliş 	9 	12 	16 	20 	21 	33 		3 	3 			5 	1 		24 		111 	
234.Çekiliş 	6 	7 	18 	34 	42 	48 		1 	5 			3 	3 		42 		155 	
235.Çekiliş 	10 	25 	29 	32 	33 	46 		3 	3 			2 	4 		36 		175 	
236.Çekiliş 	10 	13 	26 	38 	41 	49 		3 	3 			2 	4 		39 		177 	
237.Çekiliş 	11 	16 	20 	28 	45 	49 		3 	3 			3 	3 		38 		169 	
238.Çekiliş 	1 	17 	21 	37 	40 	44 		4 	2 			3 	3 		43 		160 	
239.Çekiliş 	3 	10 	17 	35 	36 	40 		3 	3 			3 	3 		37 		141 	
240.Çekiliş 	8 	12 	17 	27 	28 	44 		2 	4 			3 	3 		36 		136 	
241.Çekiliş 	4 	10 	12 	14 	45 	48 		1 	5 			4 	2 		44 		133 	
242.Çekiliş 	3 	8 	14 	25 	36 	40 		2 	4 			4 	2 		37 		126 	
243.Çekiliş 	4 	18 	28 	36 	38 	39 		1 	5 			2 	4 		35 		163 	
244.Çekiliş 	1 	20 	22 	37 	40 	44 		2 	4 			3 	3 		43 		164 	
245.Çekiliş 	9 	15 	20 	26 	35 	47 		4 	2 			3 	3 		38 		152 	
246.Çekiliş 	14 	19 	23 	31 	34 	36 		3 	3 			3 	3 		22 		157 	
247.Çekiliş 	9 	11 	16 	42 	45 	46 		3 	3 			3 	3 		37 		169 	
248.Çekiliş 	1 	11 	21 	27 	46 	48 		4 	2 			3 	3 		47 		154 	
249.Çekiliş 	8 	17 	37 	39 	45 	47 		5 	1 			2 	4 		39 		193 	
250.Çekiliş 	4 	13 	31 	34 	39 	48 		3 	3 			2 	4 		44 		169 	
251.Çekiliş 	8 	10 	13 	30 	36 	40 		1 	5 			3 	3 		32 		137 	
252.Çekiliş 	8 	11 	18 	19 	27 	32 		3 	3 			4 	2 		24 		115 	
253.Çekiliş 	11 	18 	35 	36 	41 	47 		4 	2 			2 	4 		36 		188 	
254.Çekiliş 	9 	15 	19 	21 	34 	36 		4 	2 			4 	2 		27 		134 	
255.Çekiliş 	8 	15 	16 	24 	28 	49 		2 	4 			4 	2 		41 		140 	
256.Çekiliş 	7 	13 	17 	18 	45 	46 		4 	2 			4 	2 		39 		146 	
257.Çekiliş 	21 	22 	30 	33 	38 	40 		2 	4 			2 	4 		19 		184 	
258.Çekiliş 	3 	8 	18 	36 	40 	47 		2 	4 			3 	3 		44 		152 	
259.Çekiliş 	1 	2 	4 	9 	21 	24 		3 	3 			6 	0 		23 		61 	
260.Çekiliş 	4 	21 	29 	35 	39 	43 		5 	1 			2 	4 		39 		171 	
261.Çekiliş 	4 	10 	13 	38 	41 	46 		2 	4 			3 	3 		42 		152 	
262.Çekiliş 	7 	9 	11 	36 	43 	48 		4 	2 			3 	3 		41 		154 	
263.Çekiliş 	1 	4 	16 	39 	43 	47 		4 	2 			3 	3 		46 		150 	
264.Çekiliş 	9 	13 	20 	23 	28 	43 		4 	2 			4 	2 		34 		136 	
265.Çekiliş 	1 	2 	20 	29 	36 	37 		3 	3 			3 	3 		36 		125 	
266.Çekiliş 	15 	20 	25 	30 	44 	49 		3 	3 			3 	3 		34 		183 	
267.Çekiliş 	21 	22 	27 	39 	46 	48 		3 	3 			2 	4 		27 		203 	
268.Çekiliş 	3 	8 	14 	17 	22 	35 		3 	3 			5 	1 		32 		99 	
269.Çekiliş 	10 	14 	16 	24 	27 	34 		1 	5 			4 	2 		24 		125 	
270.Çekiliş 	2 	5 	8 	15 	29 	45 		4 	2 			4 	2 		43 		104 	
271.Çekiliş 	15 	18 	34 	36 	45 	49 		3 	3 			2 	4 		34 		197 	
272.Çekiliş 	2 	13 	19 	37 	44 	47 		4 	2 			3 	3 		45 		162 	
273.Çekiliş 	1 	8 	20 	30 	36 	38 		1 	5 			3 	3 		37 		133 	
274.Çekiliş 	2 	4 	16 	26 	34 	43 		1 	5 			3 	3 		41 		125 	
275.Çekiliş 	2 	14 	21 	36 	37 	42 		2 	4 			3 	3 		40 		152 	
276.Çekiliş 	22 	23 	41 	43 	44 	48 		3 	3 			2 	4 		26 		221 	
277.Çekiliş 	11 	16 	21 	34 	40 	49 		3 	3 			3 	3 		38 		171 	
278.Çekiliş 	10 	15 	18 	19 	38 	44 		2 	4 			4 	2 		34 		144 	
279.Çekiliş 	9 	27 	40 	41 	45 	49 		5 	1 			1 	5 		40 		211 	
280.Çekiliş 	1 	26 	30 	37 	39 	44 		3 	3 			1 	5 		43 		177 	
281.Çekiliş 	4 	10 	11 	15 	30 	41 		3 	3 			4 	2 		37 		111 	
282.Çekiliş 	12 	21 	25 	27 	34 	38 		3 	3 			3 	3 		26 		157 	
283.Çekiliş 	1 	3 	4 	22 	46 	48 		2 	4 			4 	2 		47 		124 	
284.Çekiliş 	3 	14 	18 	19 	33 	38 		3 	3 			4 	2 		35 		125 	
285.Çekiliş 	3 	36 	40 	41 	43 	49 		4 	2 			1 	5 		46 		212 	
286.Çekiliş 	9 	12 	29 	30 	35 	40 		3 	3 			2 	4 		31 		155 	
287.Çekiliş 	1 	13 	16 	42 	44 	47 		3 	3 			3 	3 		46 		163 	
288.Çekiliş 	5 	25 	28 	31 	38 	40 		3 	3 			2 	4 		35 		167 	
289.Çekiliş 	5 	16 	21 	27 	34 	40 		3 	3 			3 	3 		35 		143 	
290.Çekiliş 	14 	15 	26 	29 	30 	31 		3 	3 			2 	4 		17 		145 	
291.Çekiliş 	4 	19 	27 	29 	38 	44 		3 	3 			2 	4 		40 		161 	
292.Çekiliş 	2 	8 	18 	22 	34 	37 		1 	5 			4 	2 		35 		121 	
293.Çekiliş 	17 	23 	26 	28 	34 	44 		2 	4 			2 	4 		27 		172 	
294.Çekiliş 	8 	18 	21 	32 	44 	48 		1 	5 			3 	3 		40 		171 	
295.Çekiliş 	2 	16 	22 	31 	34 	38 		1 	5 			3 	3 		36 		143 	
296.Çekiliş 	3 	16 	22 	28 	46 	48 		1 	5 			3 	3 		45 		163 	
297.Çekiliş 	14 	16 	23 	24 	26 	39 		2 	4 			4 	2 		25 		142 	
